Source	Target	lang	xml	@role	@resp
Adams (1900)	Bryant W.	en		
Adams (1900)	Longfellow	en		
Adams (1900)	James Gates Percival	en		
Adams (1900)	William Cullen Bryant	en		
Adams (1900)	Ingelow	en		
Adams (1900)	Moore Th.	en		
Adams (1900)	Moore Th.	en		
Adams (1900)	William Shakespeare	en		
Adams (1900)	Moore Th.	en		
Adams (1900)	Lang	en		
Adams (1900)	Henry W. Longfellow	en		
Adams (1900)	Moore Th.	en		
Adams (1900)	John Stuart Blackie’s	en	note	
Adams (1900)	John Stuart Blackie’s	en	note	
Adams (1900)	John Stuart Blackie’s	en	note	
Adams (1900)	Thomas Davidson	en		
Adams (1900)	Thomas Babington Macaulay	en		
Adams (1900)	Alfred Tennyson	en		
Adams (1900)	John Lewis March	en		
Adams (1900)	Alfred Tennyson	en		
Adams (1900)	Alfred Tennyson	en		
Anonyme (1842)	Hunt L.	en		
Anonyme (1842)	G. Moir Bussey	en		
Anonyme (1842)	Cornwall	en		
Anonyme (1842)	Dr. Turner	en	quote	
Anonyme (1842)	Bacon	en		
Anonyme (1842)	Homère	en		
Anonyme (1842)	Hésiode	en		
Anonyme (1842)	Ovide	en	quote	
Anonyme (1842)	Hésiode	en	quote	
Anonyme (1842)	Milton	en	quote	
Anonyme (1842)	Hésiode	en	quote	
Anonyme (1842)	Virgile	en	quote	
Anonyme (1842)	Ovide	en	quote	
Anonyme (1842)	Shelley	en	quote	
Anonyme (1842)	Laman Blanchard	en	quote	
Anonyme (1842)	Anon.	en	quote	
Anonyme (1842)	Horace	en	quote	
Anonyme (1842)	Hésiode	en	quote	
Anonyme (1842)	Hésiode	en	quote	
Anonyme (1842)	Keats	en	quote	
Anonyme (1842)	Ovide	en	quote	
Anonyme (1842)	Shelley	en	quote	
Anonyme (1842)	Hésiode	en	quote	
Anonyme (1842)	Collins W.	en	quote	
Anonyme (1842)	Cowper	en	quote	
Anonyme (1842)	Ovide	en	quote	
Anonyme (1842)	Homère	en		
Anonyme (1842)	Homère	en		
Anonyme (1842)	Homère	en	quote	
Anonyme (1842)	Ovide	en		
Anonyme (1842)	Prior	en	quote	
Anonyme (1842)	Ovide	en	quote	
Anonyme (1842)	Ovide	en	quote	
Anonyme (1842)	Shelley	en	quote	
Anonyme (1842)	Thomson	en	quote	
Anonyme (1842)	Ovide	en	quote	
Anonyme (1842)	Ovide	en	quote	
Anonyme (1842)	Hood	en	quote	
Anonyme (1842)	Ovide	en	quote	
Anonyme (1842)	Ovide	en	quote	
Anonyme (1842)	Hood	en	quote	
Anonyme (1842)	Keats	en	quote	
Anonyme (1842)	Hood	en	quote	
Anonyme (1842)	Hésiode	en	quote	
Anonyme (1842)	Ovide	en	quote	
Anonyme (1842)	Darwin E.	en	quote	
Anonyme (1842)	Byron	en	quote	
Anonyme (1842)	Thales	en		
Anonyme (1842)	Thales	en		
Anonyme (1842)	Thales	en		
Anonyme (1842)	Plutarque	en		
Anonyme (1842)	Hésiode	en	quote	
Anonyme (1842)	Cornwall	en	quote	
Anonyme (1842)	Bulwer	en	quote	
Anonyme (1842)	Cornwall	en	quote	
Anonyme (1842)	Keats	en	quote	
Anonyme (1842)	Cornwall	en	quote	
Anonyme (1842)	Keats	en	quote	
Anonyme (1842)	Hood	en	quote	
Anonyme (1842)	Hood	en	quote	
Anonyme (1842)	Dryden J.	en	quote	
Anonyme (1842)	Keats	en	quote	
Anonyme (1842)	Virgile	en	quote	
Anonyme (1842)	Shelley	en	quote	
Anonyme (1842)	Horace	en	quote	
Anonyme (1842)	Shakspere	en	quote	
